Identifier,Name,Symbol,Region,Country,Sector,Market Cap $US,Cap Tier,Current Price
S28,ACEA SPA EUR5.16,,Western Europe,Italy,Utilities,"4,600,000,000.00",Large,76.97
S29,ACER INC TWD10,ASIYF,Asia Pacific ex Japan,Taiwan,Information Technology,"2,700,000,000.00",Mid,47.22
S30,ACERINOX SA EUR0.25,,Western Europe,Spain,Materials,"2,300,000,000.00",Mid,99.05
S31,ACKERMANS NPV,,Western Europe,Belgium,Financials,"4,500,000,000.00",Large,63.01
S32,ACOM CO NPV,8572:XTKS,Japan,Japan,Financials,"7,000,000,000.00",Large,66.15
S33,ACS ACTIVIDADES CO EUR0.5,,Western Europe,Spain,Industrials,"9,000,000,000.00",Large,22.87
S34,ADARO ENERGY TBK IDR100,,Asia Pacific ex Japan,Indonesia,Energy,"2,400,000,000.00",Mid,16.6
S35,ADASTRIA CO LTD NPV,2685:XTKS,Japan,Japan,Consumer Discretionary,"697,300,000.00",Small,95.17
S36,ADATA TECHNOLOGY C TWD10,ADGHF,Asia Pacific ex Japan,Taiwan,Information Technology,"464,300,000.00",Small,60.39
S37,ADBRI LTD NPV,,Asia Pacific ex Japan,Australia,Materials,"1,500,000,000.00",Mid,60.03
S38,ADC THERAPEUTICS SA SHS,,Western Europe,Switzerland,Health Care,"2,600,000,000.00",Mid,61.59
S39,ADCOCK INGRAM HOLD ZAR0.1,AIHLF,"Central and Eastern Europe, Middle East and Africa",South Africa,Health Care,"431,300,000.00",Small,78.28
S40,ADECCO GROUP AG CHF0.1 (REGD),,Western Europe,Switzerland,Industrials,"9,100,000,000.00",Large,77.02
S41,ADEKA CORPORATION NPV,,Japan,Japan,Materials,"1,500,000,000.00",Mid,68.25
S42,ADEVINTA ASA NOK0.20,,Western Europe,Norway,Communication Services,"12,700,000,000.00",Large,100.9
S43,ADIDAS AG NPV (REGD),,Western Europe,Germany,Consumer Discretionary,"67,000,000,000.00",Large,16.47
S44,ADMICOM OYJ NPV,ADMCM:XHEL,Western Europe,Finland,Information Technology,"582,800,000.00",Small,97.39
S45,ADMIRAL GROUP ORD GBP0.001,,Western Europe,United Kingdom,Financials,"10,300,000,000.00",Large,40.98
S46,ADO PROPERTIES S.A NPV,ADPPF,Western Europe,Germany,Real Estate,"3,100,000,000.00",Mid,100.35
S47,ADVA OPTICAL NETWO NPV,ADVOF,Western Europe,Germany,Information Technology,"368,000,000.00",Small,25.01
S48,ADVANCE RES INV REIT,,Japan,Japan,Real Estate,"3,900,000,000.00",Large,35.71
S49,ADVANTECH CO LTD TWD10,ADTEF,Asia Pacific ex Japan,Taiwan,Information Technology,"8,000,000,000.00",Large,19.51
S50,ADVANTEST CORP NPV,,Japan,Japan,Information Technology,"10,400,000,000.00",Large,43.29
S51,ADYEN NV EUR0.01,,Western Europe,Netherlands,Information Technology,"61,100,000,000.00",Large,85.41
S52,AECI ZAR1,AECLF,"Central and Eastern Europe, Middle East and Africa",South Africa,Materials,"518,300,000.00",Small,25.33
S53,AECON GROUP INC COM,AEGXF,Canada,Canada,Industrials,"664,500,000.00",Small,103.08
S54,AEDIFICA NPV,,Western Europe,Belgium,Real Estate,"3,300,000,000.00",Mid,30.69
S55,AEGON NV EUR0.12,,Western Europe,Netherlands,Financials,"6,500,000,000.00",Large,80.66
S56,AEM HOLDINGS LTD NPV,,Asia Pacific ex Japan,Singapore,Information Technology,"745,800,000.00",Small,66.15
S57,AENA SME S.A. EUR10,ANNSF,Western Europe,Spain,Industrials,"21,400,000,000.00",Large,49.47
S58,AEON CO LTD NPV,,Japan,Japan,Consumer Staples,"23,200,000,000.00",Large,48.6
S59,AEON DELIGHT CO NPV,,Japan,Japan,Industrials,"1,500,000,000.00",Mid,35.31
S60,AEON FANTASY CO NPV,4343:XTKS,Japan,Japan,Consumer Discretionary,"377,200,000.00",Small,72.3
S61,AEON FINANCIAL SER NPV,,Japan,Japan,Financials,"2,300,000,000.00",Mid,28.16
S62,AEON MALL CO LTD NPV,,Japan,Japan,Real Estate,"3,500,000,000.00",Mid,107.7
S63,AEON REIT INVESTME REIT,3292:XTKS,Japan,Japan,Real Estate,"2,200,000,000.00",Mid,57.77
S64,AERCAP HOLDINGS NV SHS,,Western Europe,Netherlands,Industrials,"3,600,000,000.00",Large,32.75
S65,AEROPORTS DE PARIS EUR3,,Western Europe,France,Industrials,"10,100,000,000.00",Large,27.16
S66,AF POYRY AB SER'B'NPV,AFXXF,Western Europe,Sweden,Industrials,"3,300,000,000.00",Mid,8.82
S67,AFI PROPERTIES ILS1,,"Central and Eastern Europe, Middle East and Africa",Israel,Real Estate,"862,000,000.00",Small,34.18
S68,AFRN RAINBOW MINLS ZAR0.05,,"Central and Eastern Europe, Middle East and Africa",South Africa,Materials,"2,800,000,000.00",Mid,18.22
S69,AFTERPAY LTD NPV,,Asia Pacific ex Japan,Australia,Information Technology,"18,400,000,000.00",Large,75.74
S70,AG GROWTH INTL INC COM,AGGZF,Canada,Canada,Industrials,"405,400,000.00",Small,39.62
S71,AGC INC NPV,5201:XTKS,Japan,Japan,Industrials,"6,700,000,000.00",Large,45.49
S72,AGEAS NPV,,Western Europe,Belgium,Financials,"8,300,000,000.00",Large,87.05
S73,AGFA GEVAERT NV NPV,,Western Europe,Belgium,Health Care,"722,500,000.00",Small,102.9
S74,AGGREKO ORD GBP0.048329113924,,Western Europe,United Kingdom,Industrials,"1,500,000,000.00",Mid,9.15
S75,AGL ENERGY NPV,,Asia Pacific ex Japan,Australia,Utilities,"6,100,000,000.00",Large,81.11
S76,AGNICO EAGLE MINES LTD COM,,Canada,Canada,Materials,"19,900,000,000.00",Large,55.52
S77,AI HOLDINGS CORPOR NPV,3076:XTKS,Japan,Japan,Information Technology,"1,100,000,000.00",Mid,11.25
S78,AIA GROUP LTD NPV,,Asia Pacific ex Japan,Hong Kong,Financials,"124,300,000,000.00",Large,47.81
S79,AICA KOGYO CO NPV,4206:XTKS,Japan,Japan,Industrials,"2,400,000,000.00",Mid,98.15
S80,AICHI STEEL CORP NPV,5482:XTKS,Japan,Japan,Materials,"495,300,000.00",Small,96.31
S81,AIDA ENGINEERING NPV,,Japan,Japan,Industrials,"514,900,000.00",Small,104.56
S82,AIFUL CORP NPV,,Japan,Japan,Financials,"1,300,000,000.00",Mid,52.98
S83,AIMS APAC REIT NPV(REIT),,Asia Pacific ex Japan,Singapore,Real Estate,"621,500,000.00",Small,70.86
S84,AIN HOLDINGS NPV,,Japan,Japan,Consumer Staples,"2,500,000,000.00",Mid,76.66
S85,AIR CDA INC VAR VTG SHS,ACDVF,Canada,Canada,Industrials,"3,600,000,000.00",Large,68.92
S86,AIR FRANCE-KLM EUR1.00,,Western Europe,France,Industrials,"1,600,000,000.00",Mid,26.5
S87,AIR LIQUIDE(L') EUR5.50,,Western Europe,France,Materials,"74,800,000,000.00",Large,32.91
S88,AIR NEW ZEALAND NPV,ANZFF,Asia Pacific ex Japan,New Zealand,Industrials,"1,100,000,000.00",Mid,104.51
S89,AIR WATER INC NPV,,Japan,Japan,Materials,"3,300,000,000.00",Mid,76.93
S90,AIRASIA GROUP BHD NPV,AIABF,Asia Pacific ex Japan,Malaysia,Industrials,"488,600,000.00",Small,64.85
S91,AIRBUS SE EUR1,,Western Europe,France,Industrials,"61,900,000,000.00",Large,40.96
S92,AIRPORT CITY ILS0.01,ARPTF,"Central and Eastern Europe, Middle East and Africa",Israel,Real Estate,"1,400,000,000.00",Mid,18.12
S93,AIRTAC INTERNATION TWD10,,Asia Pacific ex Japan,Taiwan,Industrials,"4,300,000,000.00",Large,19.25
S94,AIRTEL AFRICA PLC ORD USD0.5,,Western Europe,United Kingdom,Communication Services,"3,100,000,000.00",Mid,17.88
S95,AISIN SEIKI CO NPV,,Japan,Japan,Consumer Discretionary,"9,600,000,000.00",Large,64.82
S96,AIXTRON SE ORD NPV,,Western Europe,Germany,Information Technology,"1,500,000,000.00",Mid,36.72
S97,AJINOMOTO CO INC NPV,,Japan,Japan,Consumer Staples,"11,000,000,000.00",Large,95.2
S98,AKASOL AG NPV,,Western Europe,Germany,Industrials,"394,300,000.00",Small,107.36
S99,AKER ASA SER'A'NOK28,,Western Europe,Norway,Financials,"3,400,000,000.00",Mid,82.35
S100,AKER BP ASA NOK1,,Western Europe,Norway,Energy,"6,100,000,000.00",Large,93.92
S101,AKKA TECHNOLOGIES EUR1.53,,Western Europe,France,Industrials,"572,800,000.00",Small,74.28
S102,AKR CORPORINDO TBK IDR100,PKCPF,Asia Pacific ex Japan,Indonesia,Industrials,"715,500,000.00",Small,35.23
S103,AKTIA BANK PLC NPV,AKTIA:XHEL,Western Europe,Finland,Financials,"805,500,000.00",Small,21.73
S104,AKZO NOBEL NV EUR0.50(POST REV SPLIT),AKZA:XAMS,Western Europe,Netherlands,Materials,"20,700,000,000.00",Large,74.94
S105,ALAMOS GOLD INC NEW COM CL A,,Canada,Canada,Materials,"3,600,000,000.00",Large,86.55
S106,ALBIOMA EUR0.0385,,Western Europe,France,Utilities,"1,700,000,000.00",Mid,78.56
S107,ALCHIP TECHNOLOGIE TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"1,100,000,000.00",Mid,18.81
S108,ALCON AG CHF0.04,ALC,Western Europe,Switzerland,Health Care,"30,300,000,000.00",Large,19.27
S109,ALCONIX CORPORATIO NPV,3036:XTKS,Japan,Japan,Industrials,"385,900,000.00",Small,42.23
S110,ALD EUR1.5,,Western Europe,France,Industrials,"4,200,000,000.00",Large,83.67
S111,ALFA LAVAL AB NPV,,Western Europe,Sweden,Industrials,"9,700,000,000.00",Large,88.68
S112,ALFA SAB DE CV SER'A'NPV,,Latin America,Mexico,Industrials,"3,300,000,000.00",Mid,36.81
S113,ALFEN NV EUR0.10,,Western Europe,Netherlands,Industrials,"1,600,000,000.00",Mid,44.73
S114,ALFRESA HOLDINGS NPV,,Japan,Japan,Health Care,"5,100,000,000.00",Large,81.38
S115,ALGONQUIN PWR UTILS CORP COM,,Canada,Canada,Utilities,"9,200,000,000.00",Large,59.96
S116,ALIBABA HEALTH INF HKD0.01,,Asia Pacific ex Japan,Hong Kong,Health Care,"37,100,000,000.00",Large,92.05
S117,ALIMENTATION COUCHE-TARD INC SUB VTG CL B,ANCUF,Canada,Canada,Consumer Staples,"38,200,000,000.00",Large,78.61
S118,ALK-ABELLO A/S SER'B'DKK10,,Western Europe,Denmark,Health Care,"3,500,000,000.00",Mid,79.25
S119,ALKANE RESOURCES NPV,,Asia Pacific ex Japan,Australia,Materials,"620,700,000.00",Small,29.58
S120,ALLIANCE AVIATION NPV,,Asia Pacific ex Japan,Australia,Industrials,"411,300,000.00",Small,46.33
S121,ALLIANCE BANK MALA NPV,,Asia Pacific ex Japan,Malaysia,Financials,"838,000,000.00",Small,33.52
S122,ALLIANCE GLOBAL GP PHP1,,Asia Pacific ex Japan,Philippines,Industrials,"1,400,000,000.00",Mid,37.93
S123,ALLIANZ SE NPV(REGD)(VINKULIERT),ALIZF,Western Europe,Germany,Financials,"83,000,000,000.00",Large,57.33
S124,ALLIED PPTYS REAL ESTATE INV UNIT,APYRF,Canada,Canada,Real Estate,"3,500,000,000.00",Mid,19.22
S125,ALLREAL HOLDING AG CHF1,ALRHF,Western Europe,Switzerland,Real Estate,"3,500,000,000.00",Mid,66.52
S126,ALM. BRAND DKK10,,Western Europe,Denmark,Financials,"2,000,000,000.00",Mid,95.95
S127,ALMIRALL SA EUR0.12,LBTSF,Western Europe,Spain,Health Care,"2,200,000,000.00",Mid,25.94
S128,ALONY HETZ ILS1,ALZPF,"Central and Eastern Europe, Middle East and Africa",Israel,Real Estate,"1,800,000,000.00",Mid,102.08
S129,ALPEK SAB DE CV COM CL I SER A,ALPKF,Latin America,Mexico,Materials,"1,600,000,000.00",Mid,82.06
S130,ALPEN CO LTD NPV,3028:XTKS,Japan,Japan,Consumer Discretionary,"804,000,000.00",Small,26.2
S131,ALPHA NETWORKS INC TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"515,000,000.00",Small,23.99
S132,ALPHA SYSTEMS INC NPV,,Japan,Japan,Information Technology,"470,400,000.00",Small,53.91
S133,ALPS ALPINE CO LTD NPV,,Japan,Japan,Information Technology,"3,100,000,000.00",Mid,43.7
S134,ALS LIMITED NPV,,Asia Pacific ex Japan,Australia,Industrials,"3,400,000,000.00",Mid,85.1
S135,ALSEA SAB DE CV COM NPV,ALSSF,Latin America,Mexico,Consumer Discretionary,"874,900,000.00",Small,17.47
S136,ALSO HOLDING AG CHF1 (REGD),,Western Europe,Switzerland,Information Technology,"3,500,000,000.00",Mid,10.03
S137,ALSTOM EUR7.00,,Western Europe,France,Industrials,"10,900,000,000.00",Large,100.46
S138,ALSTRIA OFFICE REI NPV (BR),ALSRF,Western Europe,Germany,Real Estate,"2,500,000,000.00",Mid,82.82
S139,ALTAGAS LTD COM,ATGFF,Canada,Canada,Utilities,"3,500,000,000.00",Mid,27.98
S140,ALTAREA NPV,,Western Europe,France,Real Estate,"2,300,000,000.00",Mid,49.91
S141,ALTECH CORPORATION NPV,4641:XTKS,Japan,Japan,Industrials,"480,400,000.00",Small,9.79
S142,ALTEN NPV,,Western Europe,France,Information Technology,"3,400,000,000.00",Mid,28.27
S143,ALTIA OYJ NPV,ALTIA:XHEL,Western Europe,Finland,Consumer Staples,"428,300,000.00",Small,30.74
S144,ALTICE EUROPE N.V. EUR0.01 (COMMON SHARES A),,Western Europe,Netherlands,Communication Services,"6,300,000,000.00",Large,23.66
S145,ALTIUM NPV,,Asia Pacific ex Japan,Australia,Information Technology,"3,500,000,000.00",Mid,22.18
S146,ALTUS GROUP LTD COM,,Canada,Canada,Real Estate,"1,700,000,000.00",Mid,59.74
S147,ALUMINA LTD NPV,,Asia Pacific ex Japan,Australia,Materials,"2,900,000,000.00",Mid,57.89
S148,AMA GROUP LIMITED NPV,,Asia Pacific ex Japan,Australia,Industrials,"350,700,000.00",Small,103.21
S149,AMADA CO LTD NPV,,Japan,Japan,Industrials,"3,400,000,000.00",Mid,59.46
S150,AMADEUS FIRE AG NPV,,Western Europe,Germany,Industrials,"723,600,000.00",Small,10.69
S151,AMADEUS IT GROUP EUR0.01,,Western Europe,Spain,Information Technology,"26,700,000,000.00",Large,9.26
S152,AMANO CORPORATION NPV,,Japan,Japan,Information Technology,"1,900,000,000.00",Mid,61.11
S153,AMBASSADOR HOTEL TWD10,,Asia Pacific ex Japan,Taiwan,Consumer Discretionary,"384,700,000.00",Small,73.92
S154,AMBU A/S SER'B'DKK0.5,AMBFD,Western Europe,Denmark,Health Care,"6,500,000,000.00",Large,102.9
S155,AMERICA MOVIL SAB COM SER 'L' NPV (L/VTG),,Latin America,Mexico,Communication Services,"42,700,000,000.00",Large,37.81
S156,AMG ADVANCED METAL EUR0.02,,Western Europe,Netherlands,Materials,"583,100,000.00",Small,64.72
S157,AMMB HOLDINGS BHD MYR1,AMMHF,Asia Pacific ex Japan,Malaysia,Financials,"2,200,000,000.00",Mid,25.16
S158,AMOT INVESTMENTS ILS1,,"Central and Eastern Europe, Middle East and Africa",Israel,Real Estate,"1,900,000,000.00",Mid,99.05
S159,AMP LIMITED NPV,,Asia Pacific ex Japan,Australia,Financials,"3,500,000,000.00",Mid,12.58
S160,AMPLIFON EUR0.02,,Western Europe,Italy,Health Care,"8,500,000,000.00",Large,42.53
S161,AMPOL LTD NPV,,Asia Pacific ex Japan,Australia,Energy,"4,400,000,000.00",Large,62.5
S162,AMS AG NPV (BR),,Western Europe,Austria,Information Technology,"7,000,000,000.00",Large,102.83
S163,AMUNDI EUR2.5,,Western Europe,France,Financials,"15,100,000,000.00",Large,97.94
S164,AMUSE INC NPV,,Japan,Japan,Communication Services,"461,500,000.00",Small,80.94
S165,ANA HOLDINGS INC NPV,,Japan,Japan,Industrials,"7,900,000,000.00",Large,90.5
S166,ANDRITZ AG NPV (BR),,Western Europe,Austria,Industrials,"3,600,000,000.00",Large,19.54
S167,ANEKA TAMBANG IDR100,,Asia Pacific ex Japan,Indonesia,Materials,"1,300,000,000.00",Mid,9.21
S168,ANGES INC NPV,,Japan,Japan,Health Care,"1,700,000,000.00",Mid,44.51
S169,ANGLO AMER PLAT LT ZAR0.10,AGPPF,"Central and Eastern Europe, Middle East and Africa",South Africa,Materials,"19,600,000,000.00",Large,96.1
S170,ANGLO AMERICAN USD0.54945,,Western Europe,United Kingdom,Materials,"34,700,000,000.00",Large,25.17
S171,ANGLOGOLD ASHANTI ZAR0.25,,"Central and Eastern Europe, Middle East and Africa",South Africa,Materials,"11,600,000,000.00",Large,78.49
S172,ANHEUSER-BUSCH INB NPV,,Western Europe,Belgium,Consumer Staples,"101,100,000,000.00",Large,56.79
S173,ANIMA HLDG SPA NPV,,Western Europe,Italy,Financials,"1,600,000,000.00",Mid,89.62
S174,ANRITSU CORP NPV,,Japan,Japan,Information Technology,"3,300,000,000.00",Mid,13.17
S175,ANSELL NPV,,Asia Pacific ex Japan,Australia,Health Care,"3,600,000,000.00",Large,52.24
S176,ANTOFAGASTA ORD GBP0.05,,Western Europe,United Kingdom,Materials,"13,100,000,000.00",Large,99.84
S177,AO WORLD PLC ORD GBP0.0025,,Western Europe,United Kingdom,Consumer Discretionary,"1,400,000,000.00",Mid,17.46
S178,AOKI HOLDINGS INC NPV,8214:XTKS,Japan,Japan,Consumer Discretionary,"443,800,000.00",Small,36.92
S179,AOMORI BANK NPV,8342:XTKS,Japan,Japan,Financials,"459,400,000.00",Small,19.94
S180,AOZORA BANK NPV,,Japan,Japan,Financials,"2,000,000,000.00",Mid,12.87
S181,APG SGA SA CHF2.60,,Western Europe,Switzerland,Communication Services,"634,100,000.00",Small,105.66
S182,APHRIA INC COM,,Canada,Canada,Health Care,"1,700,000,000.00",Mid,25.14
S183,APPEN LTD NPV,,Asia Pacific ex Japan,Australia,Information Technology,"3,100,000,000.00",Mid,36.74
S184,APPLUS SERVICES SA EUR0.10,APLUF,Western Europe,Spain,Industrials,"1,100,000,000.00",Mid,85.15
S185,APTOSE BIOSCIENCES INC COM NEW,,Canada,Canada,Health Care,"537,700,000.00",Small,106.85
S186,ARA LOGOS LOG TR NPV (REIT),CHLTF,Asia Pacific ex Japan,Singapore,Real Estate,"503,900,000.00",Small,92.13
S187,ARAD INVESTMENT & ILS1,,"Central and Eastern Europe, Middle East and Africa",Israel,Industrials,"574,200,000.00",Small,52.32
S188,ARB CORPORATION. NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"1,900,000,000.00",Mid,52.14
S189,ARBONIA AG CHF4.20 (REGD),,Western Europe,Switzerland,Industrials,"900,600,000.00",Small,84.41
S190,ARC LAND SAKAMOTO NPV,9842:XTKS,Japan,Japan,Consumer Discretionary,"859,700,000.00",Small,38.37
S191,ARC RES LTD CDA COM,AETUF,Canada,Canada,Energy,"1,700,000,000.00",Mid,99.3
S192,ARCA CONTINENTAL COM NPV,EMBVF,Latin America,Mexico,Consumer Staples,"7,800,000,000.00",Large,19.38
S193,ARCADIS NV EUR0.02,,Western Europe,Netherlands,Industrials,"2,000,000,000.00",Mid,93.07
S194,ARCS COMPANY LTD NPV,,Japan,Japan,Consumer Staples,"1,400,000,000.00",Mid,80.19
S195,ARCTICZYMES TECH NOK1,AZT:XOSL,Western Europe,Norway,Health Care,"427,300,000.00",Small,87.86
S196,ARGENX SE EUR0.10,,Western Europe,Netherlands,Health Care,"13,100,000,000.00",Large,94.01
S197,ARGO GRAPHICS NPV,,Japan,Japan,Information Technology,"698,500,000.00",Small,37.95
S198,ARGONAUT GOLD INC NEW COM,ARNGF,Canada,Canada,Materials,"607,100,000.00",Small,32.37
S199,ARIAKE JAPAN CO NPV,,Japan,Japan,Consumer Staples,"2,200,000,000.00",Mid,47.32
S200,ARISTOCRAT LEISURE NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"14,200,000,000.00",Large,35.28
S201,ARITZIA INC SUB VTG SHS,ATZAF,Canada,Canada,Consumer Discretionary,"1,600,000,000.00",Mid,60.79
S202,ARJO AB SER'B'NPV,ARRJF,Western Europe,Sweden,Health Care,"1,600,000,000.00",Mid,49.31
S203,ARKEMA EUR10,,Western Europe,France,Materials,"8,600,000,000.00",Large,24.72
S204,ARKO HOLDINGS LTD ILS0.01,,"Central and Eastern Europe, Middle East and Africa",Israel,Consumer Discretionary,"579,000,000.00",Small,13.41
S205,AROUNDTOWN SA EUR0.01,,Western Europe,Germany,Real Estate,"8,400,000,000.00",Large,105.63
S206,ARTIS REAL ESTATE INVT TR TR UNIT NEW,ARESF,Canada,Canada,Real Estate,"904,000,000.00",Small,97.46
S207,ARYZTA AG CHF0.02 (REGD),,Western Europe,Switzerland,Consumer Staples,"649,700,000.00",Small,85.72
S208,AS ONE CORPORATION NPV,,Japan,Japan,Health Care,"3,100,000,000.00",Mid,52.92
S209,ASAHI CO LTD NPV,,Japan,Japan,Consumer Discretionary,"472,900,000.00",Small,65.79
S210,ASAHI GROUP HLDGS NPV,,Japan,Japan,Consumer Staples,"18,000,000,000.00",Large,11.18
S211,ASAHI HOLDINGS INC NPV,,Japan,Japan,Materials,"1,400,000,000.00",Mid,56.11
S212,ASAHI INTECC CO LT NPV,,Japan,Japan,Health Care,"8,600,000,000.00",Large,58.63
S213,ASAHI KASEI CORP NPV,,Japan,Japan,Materials,"12,200,000,000.00",Large,78.17
S214,ASALEO CARE LTD NPV,,Asia Pacific ex Japan,Australia,Consumer Staples,"399,100,000.00",Small,36.5
S215,ASCENDAS INDIA TRU UNITS NPV,ACNDF,Asia Pacific ex Japan,Singapore,Real Estate,"1,300,000,000.00",Mid,19.77
S216,ASCENDAS R/EST INV NPV (REIT),ACDSF,Asia Pacific ex Japan,Singapore,Real Estate,"8,600,000,000.00",Large,11.58
S217,ASCENTIAL PLC ORD GBP0.01,,Western Europe,United Kingdom,Communication Services,"1,700,000,000.00",Mid,49.31
S218,ASCOM HOLDING AG CHF0.50 (REGD),ACMLF,Western Europe,Switzerland,Health Care,"480,100,000.00",Small,75.25
S219,ASCOPIAVE EUR1,,Western Europe,Italy,Utilities,"889,900,000.00",Small,79.82
S220,ASHMORE GROUP ORD GBP0.0001,,Western Europe,United Kingdom,Financials,"3,400,000,000.00",Mid,43.26
S221,ASHTEAD GROUP ORD GBP0.10,,Western Europe,United Kingdom,Industrials,"17,100,000,000.00",Large,17.4
S222,ASIA CEMENT CORP TWD10,AACMF,Asia Pacific ex Japan,Taiwan,Materials,"4,800,000,000.00",Large,63.76
S223,ASIA POLYMER TWD10,,Asia Pacific ex Japan,Taiwan,Materials,"368,200,000.00",Small,42.77
S224,ASICS CORP NPV,,Japan,Japan,Consumer Discretionary,"2,700,000,000.00",Mid,25.81
S225,ASKA PHARM CO LTD NPV,4514:XTKS,Japan,Japan,Health Care,"430,400,000.00",Small,74.2
S226,ASKUL CORP NPV,,Japan,Japan,Consumer Discretionary,"2,500,000,000.00",Mid,8.34
S227,ASM INTL NV EUR0.04,,Western Europe,Netherlands,Information Technology,"7,900,000,000.00",Large,98.55
S228,ASM PACIFIC TECH HKD0.10,,Asia Pacific ex Japan,Hong Kong,Information Technology,"4,500,000,000.00",Large,17.01
S229,ASMEDIA TECHNOLOGY TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"3,700,000,000.00",Large,104.89
S230,ASML HOLDING NV EUR0.09,,Western Europe,Netherlands,Information Technology,"165,200,000,000.00",Large,88.59
S231,ASPEN PHARMACARE NPV,,"Central and Eastern Europe, Middle East and Africa",South Africa,Health Care,"3,300,000,000.00",Mid,18.14
S232,ASR NEDERLAND NV EUR0.16,,Western Europe,Netherlands,Financials,"4,900,000,000.00",Large,97.79
S233,ASROCK INCORPORATI TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"718,800,000.00",Small,14.71
S234,ASSA ABLOY SER'B'NPV,,Western Europe,Sweden,Industrials,"25,500,000,000.00",Large,65.84
S235,ASSIC GENERALI SPA EUR1,,Western Europe,Italy,Financials,"23,300,000,000.00",Large,40.07
S236,ASSOCD BRIT FOODS ORD GBP0.0568,,Western Europe,United Kingdom,Consumer Staples,"19,700,000,000.00",Large,85.52
S237,ASSURA PLC ORD GBP0.10,,Western Europe,United Kingdom,Real Estate,"2,700,000,000.00",Mid,29.68
S238,ASTELLAS PHARMA NPV,,Japan,Japan,Health Care,"26,500,000,000.00",Large,52.8
S239,ASTM SPA NPV,,Western Europe,Italy,Industrials,"2,900,000,000.00",Mid,9.46
S240,ASTON MARTIN LAGON ORD GBP0.00903968713304439,,Western Europe,United Kingdom,Consumer Discretionary,"1,200,000,000.00",Mid,82.81
